provincia,canton,poblacion_miles,latitud,longitud,gang_presence,poblacion,tasa_pobreza_pct,gini,anios_escolaridad,homicidios_2024,homicide_rate,gi_star_z,gi_p_value,hotspot_label
Guayas,Guayaquil,2720,-2.189,-79.889,9,2720000,22.3,0.48,10.2,480,17.6,-2.507467102450402,0.012159990026763077,low cluster
Guayas,Durán,235,-2.179,-79.831,8,235000,22.3,0.48,10.2,480,204.3,-5.041971241428525,4.607605468119345e-07,low cluster
Guayas,Samborondón,105,-2.028,-79.724,3,105000,22.3,0.48,10.2,480,457.1,-2.747229199060507,0.006010111786335806,low cluster
Guayas,Daule,180,-1.868,-79.977,5,180000,22.3,0.48,10.2,480,266.7,-1.085111881970012,0.2778721053834926,not significant
Guayas,Milagro,200,-2.129,-79.594,6,200000,22.3,0.48,10.2,480,240.0,-1.2740979197824276,0.2026287155754437,not significant
Guayas,Balzar,53,-1.366,-79.905,5,53000,22.3,0.48,10.2,480,905.7,0.9403304200725259,0.3470481004710205,not significant
Pichincha,Quito,2010,-0.18,-78.467,6,2010000,10.8,0.42,11.8,203,10.1,-0.3126395796973675,0.7545545041750522,not significant
Pichincha,Cayambe,85,0.041,-78.16,3,85000,10.8,0.42,11.8,203,238.8,-1.9505112102030215,0.05111521856202049,low cluster
Pichincha,Mejía,81,-0.502,-78.567,3,81000,10.8,0.42,11.8,203,250.6,-1.2755524580497346,0.20211376915436852,not significant
Pichincha,Pedro Vicente Maldonado,13,0.083,-79.052,5,13000,10.8,0.42,11.8,203,1561.5,-0.41469038563456334,0.6783685714695211,not significant
Manabí,Portoviejo,320,-1.054,-80.454,5,320000,37.5,0.46,8.7,363,113.4,0.21597264950980996,0.8290090669776016,not significant
Manabí,Manta,270,-0.949,-80.746,7,270000,37.5,0.46,8.7,363,134.4,-0.11696938378661138,0.9068843151013537,not significant
Manabí,Chone,128,-0.698,-80.094,4,128000,37.5,0.46,8.7,363,283.6,0.10274498113452327,0.9181653727471368,not significant
Manabí,Pedernales,55,0.076,-80.053,7,55000,37.5,0.46,8.7,363,660.0,1.3596611804176781,0.1739371679137276,not significant
Manabí,El Carmen,89,-0.28,-79.463,5,89000,37.5,0.46,8.7,363,407.9,2.7738217098781845,0.0055402031803870894,high cluster
Los Ríos,Babahoyo,162,-1.803,-79.534,6,162000,42.1,0.44,8.1,440,271.6,0.4122685252155336,0.6801426157204469,not significant
Los Ríos,Quevedo,185,-1.033,-79.449,8,185000,42.1,0.44,8.1,440,237.8,2.256273561442401,0.024053504094988357,high cluster
Los Ríos,Ventanas,72,-1.446,-79.471,6,72000,42.1,0.44,8.1,440,611.1,1.0785801952195866,0.2807749139584276,not significant
Los Ríos,Vinces,76,-1.556,-79.752,5,76000,42.1,0.44,8.1,440,578.9,1.840604231869218,0.0656795771472944,high cluster
Los Ríos,Buena Fe,72,-0.912,-79.484,5,72000,42.1,0.44,8.1,440,611.1,-0.335148454111649,0.7375131032061834,not significant
Esmeraldas,Esmeraldas,218,0.954,-79.656,9,218000,48.9,0.52,7.4,546,250.5,7.000975231134797,2.5418688396097816e-12,high cluster
Esmeraldas,San Lorenzo,44,1.288,-78.838,8,44000,48.9,0.52,7.4,546,1240.9,6.408104485235336,1.4733992604382442e-10,high cluster
Esmeraldas,Eloy Alfaro,40,1.247,-78.979,7,40000,48.9,0.52,7.4,546,1365.0,6.7733194091351345,1.2586065555337396e-11,high cluster
Esmeraldas,Atacames,42,0.868,-79.841,7,42000,48.9,0.52,7.4,546,1300.0,1.8394187253904972,0.06585362199940913,high cluster
Esmeraldas,Quinindé,135,0.332,-79.466,8,135000,48.9,0.52,7.4,546,404.4,4.746890275022721,2.0656793719127333e-06,high cluster
El Oro,Machala,260,-3.259,-79.962,7,260000,25.3,0.43,9.8,305,117.3,-0.13402367253570965,0.8933838553310949,not significant
El Oro,Pasaje,82,-3.329,-79.804,5,82000,25.3,0.43,9.8,305,372.0,-1.338165882601119,0.1808423680610357,not significant
El Oro,Santa Rosa,72,-3.449,-79.96,5,72000,25.3,0.43,9.8,305,423.6,-0.9636849623365861,0.3352038957993726,not significant
El Oro,Huaquillas,52,-3.473,-80.229,7,52000,25.3,0.43,9.8,305,586.5,-1.3082774567830457,0.1907792184768825,not significant
Azuay,Cuenca,600,-2.901,-79.006,3,600000,18.2,0.41,10.5,131,21.8,-1.6787663616087314,0.09319758684744865,low cluster
Azuay,Gualaceo,45,-2.889,-78.779,2,45000,18.2,0.41,10.5,131,291.1,-2.9776294650185036,0.0029048693211804707,low cluster
Santa Elena,Santa Elena,150,-2.226,-80.859,8,150000,40.2,0.45,8.4,378,252.0,0.8609886600053871,0.38924428873755945,not significant
Santa Elena,La Libertad,98,-2.223,-80.905,7,98000,40.2,0.45,8.4,378,385.7,-0.6444540772962235,0.5192810273821316,not significant
Santa Elena,Salinas,70,-2.216,-80.968,5,70000,40.2,0.45,8.4,378,540.0,-1.164770452715393,0.2441119221294964,not significant
Santo Domingo de los Tsáchilas,Santo Domingo,400,-0.253,-79.172,8,400000,36.8,0.44,8.6,365,91.2,3.5291216279471507,0.0004169414566021035,high cluster
Santo Domingo de los Tsáchilas,La Concordia,51,-0.005,-79.392,7,51000,36.8,0.44,8.6,365,715.7,2.835956071114744,0.004568872984479595,high cluster
Imbabura,Ibarra,200,0.346,-78.131,4,200000,24.6,0.42,9.2,130,65.0,-1.514336939828073,0.12994040414120134,not significant
Imbabura,Otavalo,105,0.232,-78.262,3,105000,24.6,0.42,9.2,130,123.8,-1.8184785776932655,0.06899101802517026,low cluster
Loja,Loja,245,-3.998,-79.205,3,245000,22.7,0.4,10.1,130,53.1,0.12586634031543417,0.8998377272678612,not significant
Chimborazo,Riobamba,265,-1.671,-78.648,3,265000,38.4,0.45,8.3,150,56.6,-1.7871038904890626,0.07392069881845238,low cluster
Cotopaxi,Latacunga,210,-0.933,-78.615,4,210000,35.2,0.44,8.5,122,58.1,-2.5727482369139447,0.01008945723258311,low cluster
Cotopaxi,La Maná,50,-0.938,-79.224,6,50000,35.2,0.44,8.5,122,244.0,-0.6020192667359342,0.5471613125939101,not significant
Tungurahua,Ambato,380,-1.243,-78.62,3,380000,28.1,0.43,9.6,136,35.8,-2.482027192739396,0.013063730567394214,low cluster
Sucumbíos,Lago Agrio,110,0.086,-76.882,7,110000,42.7,0.47,7.9,127,115.5,-1.5080482749818775,0.1315421721046729,not significant
Orellana,Francisco de Orellana,80,-0.467,-76.987,6,80000,46.1,0.48,7.5,145,181.2,-1.5472244871473941,0.12180912320404948,not significant
Carchi,Tulcán,96,0.813,-77.72,5,96000,32.1,0.43,9.0,132,137.5,-0.9161721048188284,0.3595766339014388,not significant
Cañar,Azogues,83,-2.741,-78.847,3,83000,30.5,0.41,8.8,127,153.0,-2.292493029153075,0.02187720933886856,low cluster
Bolívar,Guaranda,86,-1.597,-79.006,3,86000,45.3,0.46,7.6,158,183.7,-1.4969840235427911,0.1343974152160507,not significant
Zamora Chinchipe,Zamora,30,-4.069,-78.957,3,30000,43.5,0.46,8.1,149,496.7,-1.8896630128661238,0.05880304382983708,low cluster
Pastaza,Puyo,52,-1.48,-78.004,3,52000,42.8,0.48,8.3,120,230.8,-2.1926671033016842,0.028331372553960375,low cluster
Morona Santiago,Macas,48,-2.307,-78.113,3,48000,39.3,0.46,8.2,113,235.4,-1.635854040515368,0.10187013875364934,not significant
Napo,Tena,62,-0.996,-77.816,4,62000,44.2,0.47,8.0,115,185.5,-1.9312412402223107,0.053453226179859044,low cluster
Galápagos,Santa Cruz,15,-0.741,-90.315,1,15000,8.5,0.38,12.5,153,1020.0,-0.19779983508849358,0.8432016752030702,not significant
