provincia,canton,poblacion_miles,latitud,longitud,tasa_pobreza_pct,gang_presence,poblacion
Guayas,Guayaquil,2720,-2.189,-79.889,18.5,9,2720000
Guayas,Durán,235,-2.179,-79.831,28.3,8,235000
Guayas,Samborondón,105,-2.028,-79.724,12.1,3,105000
Guayas,Daule,180,-1.868,-79.977,25.7,5,180000
Guayas,Milagro,200,-2.129,-79.594,28.9,6,200000
Guayas,Balzar,53,-1.366,-79.905,35.2,5,53000
Pichincha,Quito,2010,-0.18,-78.467,8.2,6,2010000
Pichincha,Cayambe,85,0.041,-78.16,36.1,3,85000
Pichincha,Mejía,81,-0.502,-78.567,22.5,3,81000
Pichincha,Pedro Vicente Maldonado,13,0.083,-79.052,42.3,5,13000
Manabí,Portoviejo,320,-1.054,-80.454,32.1,5,320000
Manabí,Manta,270,-0.949,-80.746,28.5,7,270000
Manabí,Chone,128,-0.698,-80.094,42.8,4,128000
Manabí,Pedernales,55,0.076,-80.053,55.2,7,55000
Manabí,El Carmen,89,-0.28,-79.463,43.4,5,89000
Los Ríos,Babahoyo,162,-1.803,-79.534,38.9,6,162000
Los Ríos,Quevedo,185,-1.033,-79.449,35.1,8,185000
Los Ríos,Ventanas,72,-1.446,-79.471,40.2,6,72000
Los Ríos,Vinces,76,-1.556,-79.752,38.5,5,76000
Los Ríos,Buena Fe,72,-0.912,-79.484,42.0,5,72000
Esmeraldas,Esmeraldas,218,0.954,-79.656,45.3,9,218000
Esmeraldas,San Lorenzo,44,1.288,-78.838,62.1,8,44000
Esmeraldas,Eloy Alfaro,40,1.247,-78.979,68.5,7,40000
Esmeraldas,Atacames,42,0.868,-79.841,49.2,7,42000
Esmeraldas,Quinindé,135,0.332,-79.466,52.4,8,135000
El Oro,Machala,260,-3.259,-79.962,22.1,7,260000
El Oro,Pasaje,82,-3.329,-79.804,27.3,5,82000
El Oro,Santa Rosa,72,-3.449,-79.96,28.5,5,72000
El Oro,Huaquillas,52,-3.473,-80.229,28.8,7,52000
Azuay,Cuenca,600,-2.901,-79.006,15.2,3,600000
Azuay,Gualaceo,45,-2.889,-78.779,22.8,2,45000
Santa Elena,Santa Elena,150,-2.226,-80.859,35.2,8,150000
Santa Elena,La Libertad,98,-2.223,-80.905,32.1,7,98000
Santa Elena,Salinas,70,-2.216,-80.968,25.3,5,70000
Santo Domingo de los Tsáchilas,Santo Domingo,400,-0.253,-79.172,33.8,8,400000
Santo Domingo de los Tsáchilas,La Concordia,51,-0.005,-79.392,45.1,7,51000
Imbabura,Ibarra,200,0.346,-78.131,22.1,4,200000
Imbabura,Otavalo,105,0.232,-78.262,35.2,3,105000
Loja,Loja,245,-3.998,-79.205,18.9,3,245000
Chimborazo,Riobamba,265,-1.671,-78.648,34.5,3,265000
Cotopaxi,Latacunga,210,-0.933,-78.615,32.8,4,210000
Cotopaxi,La Maná,50,-0.938,-79.224,42.0,6,50000
Tungurahua,Ambato,380,-1.243,-78.62,24.2,3,380000
Sucumbíos,Lago Agrio,110,0.086,-76.882,40.5,7,110000
Orellana,Francisco de Orellana,80,-0.467,-76.987,44.2,6,80000
Carchi,Tulcán,96,0.813,-77.72,29.1,5,96000
Cañar,Azogues,83,-2.741,-78.847,27.3,3,83000
Bolívar,Guaranda,86,-1.597,-79.006,44.2,3,86000
Zamora Chinchipe,Zamora,30,-4.069,-78.957,38.2,3,30000
Pastaza,Puyo,52,-1.48,-78.004,40.1,3,52000
Morona Santiago,Macas,48,-2.307,-78.113,35.8,3,48000
Napo,Tena,62,-0.996,-77.816,42.1,4,62000
Galápagos,Santa Cruz,15,-0.741,-90.315,7.2,1,15000
