provincia,canton,codigo_canton,total_homicidios,latitud,longitud,femicidios,asesinatos,sicariatos,homicidios_2023,homicidios_2024,homicidios_2025,homicidios_2026,poblacion_miles,homicide_rate_2024,homicide_rate_2025,homicide_rate_2026_proj
Azuay,Camilo Ponce Enríquez,115,178,-2.838,-79.447,4,154,0,28,59,12,1,50,118.0,24.0,4.0
Azuay,Chordeleg,111,4,-2.197,-78.65,0,4,0,0,0,0,3,50,0.0,0.0,12.0
Azuay,Cuenca,101,325,-2.9006,-79.0045,25,217,5,24,18,22,18,600,3.0,3.7,6.0
Azuay,El Pan,112,2,-2.632,-78.805,1,0,0,0,0,0,0,50,0.0,0.0,0.0
Azuay,Girón,102,5,-2.726,-78.602,0,4,0,0,1,0,0,50,2.0,0.0,0.0
Azuay,Guachapala,114,1,-2.774,-78.713,1,0,0,0,0,0,0,50,0.0,0.0,0.0
Azuay,Gualaceo,103,15,-2.889,-78.779,2,8,0,1,1,1,0,50,2.0,2.0,0.0
Azuay,Nabón,104,8,-2.488,-78.766,1,3,0,0,0,1,0,50,0.0,2.0,0.0
Azuay,Paute,105,5,-2.757,-78.736,1,3,0,0,1,0,0,50,2.0,0.0,0.0
Azuay,Pucará,106,12,-2.742,-79.01,0,10,0,2,6,0,0,50,12.0,0.0,0.0
Azuay,San Fernando,107,1,-3.095,-79.29,0,1,0,0,0,0,0,50,0.0,0.0,0.0
Azuay,Santa Isabel,108,15,-3.137,-79.259,1,12,0,1,4,2,0,50,8.0,4.0,0.0
Azuay,Sevilla De Oro,113,2,-2.778,-78.649,0,0,0,0,0,0,0,50,0.0,0.0,0.0
Azuay,Sígsig,109,10,-2.744,-78.56,3,5,0,2,1,1,0,50,2.0,2.0,0.0
Bolívar,Caluma,206,20,-1.219,-79.065,5,12,1,2,3,2,0,50,6.0,4.0,0.0
Bolívar,Chillanes,202,22,-1.933,-79.063,1,17,0,5,1,9,0,50,2.0,18.0,0.0
Bolívar,Chimbo,203,10,-1.331,-79.065,0,8,0,0,4,0,1,50,8.0,0.0,4.0
Bolívar,Echeandía,204,12,-0.724,-79.094,2,7,3,0,2,2,0,50,4.0,4.0,0.0
Bolívar,Guaranda,201,55,-1.593,-79.006,3,43,0,6,8,3,2,86,9.3,3.5,4.7
Bolívar,Las Naves,207,48,-1.242,-79.367,0,48,0,6,11,21,8,50,22.0,42.0,32.0
Bolívar,San Miguel,205,20,-1.676,-79.145,2,14,0,5,1,0,0,50,2.0,0.0,0.0
Carchi,Bolívar,402,10,0.503,-77.923,0,7,0,11,3,8,5,50,6.0,16.0,20.0
Carchi,Espejo,403,5,0.641,-77.946,1,2,0,0,0,0,0,50,0.0,0.0,0.0
Carchi,Mira,404,9,0.648,-78.153,1,5,0,0,0,2,0,50,0.0,4.0,0.0
Carchi,Montúfar,405,20,0.534,-77.721,5,5,0,0,3,2,1,50,6.0,4.0,4.0
Carchi,San Pedro De Huaca,406,2,0.598,-77.728,0,1,0,0,0,1,0,50,0.0,2.0,0.0
Carchi,Tulcán,401,66,0.777,-77.72,7,36,0,13,5,8,5,96,5.2,8.3,10.4
Cañar,Azogues,301,56,-2.741,-78.847,3,47,0,11,6,10,3,83,7.2,12.0,7.2
Cañar,Biblián,302,13,-2.705,-78.895,1,8,0,1,0,5,0,50,0.0,10.0,0.0
Cañar,Cañar,303,22,-2.467,-78.94,2,16,0,2,3,4,2,50,6.0,8.0,8.0
Cañar,Déleg,306,8,-2.605,-78.87,0,8,0,0,3,1,0,50,6.0,2.0,0.0
Cañar,El Tambo,305,4,-2.547,-78.95,0,3,0,1,0,0,0,50,0.0,0.0,0.0
Cañar,La Troncal,304,564,-2.034,-79.339,3,521,6,97,97,79,44,50,194.0,158.0,176.0
Cañar,Suscal,307,1,-2.474,-79.13,0,1,0,0,0,0,0,50,0.0,0.0,0.0
Chimborazo,Alausí,602,16,-2.034,-78.847,1,14,0,1,0,1,0,50,0.0,2.0,0.0
Chimborazo,Chambo,604,5,-1.39,-78.635,2,1,0,0,1,1,0,50,2.0,2.0,0.0
Chimborazo,Chunchi,605,3,-1.489,-78.905,0,1,0,0,0,0,0,50,0.0,0.0,0.0
Chimborazo,Colta,603,8,-1.302,-78.62,2,3,0,0,1,1,0,50,2.0,2.0,0.0
Chimborazo,Cumandá,610,19,-2.088,-79.036,0,18,0,7,0,2,0,50,0.0,4.0,0.0
Chimborazo,Guamote,606,6,-1.341,-78.665,2,2,0,1,0,0,0,50,0.0,0.0,0.0
Chimborazo,Guano,607,19,-1.52,-78.632,1,13,0,2,1,3,1,50,2.0,6.0,4.0
Chimborazo,Pallatanga,608,7,-1.414,-78.782,0,5,0,1,1,0,0,50,2.0,0.0,0.0
Chimborazo,Penipe,609,2,-1.596,-78.52,0,2,0,0,0,2,0,50,0.0,4.0,0.0
Chimborazo,Riobamba,601,101,-1.671,-78.648,10,67,2,14,8,9,4,265,3.0,3.4,3.0
Cotopaxi,La Maná,502,56,-0.938,-79.224,5,47,0,7,5,9,1,50,10.0,18.0,4.0
Cotopaxi,Latacunga,501,191,-0.933,-78.615,19,123,2,13,12,18,15,210,5.7,8.6,14.3
Cotopaxi,Pangua,503,24,-1.046,-79.232,4,17,0,4,3,7,1,50,6.0,14.0,4.0
Cotopaxi,Pujilí,504,14,-0.946,-78.701,2,9,0,3,2,0,2,50,4.0,0.0,8.0
Cotopaxi,Salcedo,505,44,-0.985,-78.62,8,27,0,8,4,4,1,50,8.0,8.0,4.0
Cotopaxi,Saquisilí,506,10,-0.836,-78.67,3,6,0,2,0,3,0,50,0.0,6.0,0.0
Cotopaxi,Sigchos,507,7,-0.671,-78.688,0,4,0,0,1,0,1,50,2.0,0.0,4.0
El Oro,Arenillas,702,178,-3.547,-80.078,0,163,1,44,21,25,37,50,42.0,50.0,148.0
El Oro,Atahualpa,703,5,-3.709,-80.202,0,5,0,1,1,1,0,50,2.0,2.0,0.0
El Oro,Balsas,704,4,-3.762,-79.917,0,2,0,0,0,0,0,50,0.0,0.0,0.0
El Oro,Chilla,705,3,-3.422,-79.56,0,3,0,0,0,0,1,50,0.0,0.0,4.0
El Oro,El Guabo,706,368,-3.247,-79.827,8,336,7,38,85,88,48,50,170.0,176.0,192.0
El Oro,Huaquillas,707,488,-3.473,-80.229,14,451,5,113,62,87,76,52,119.2,167.3,292.3
El Oro,Las Lajas,714,4,-3.552,-79.769,1,3,0,1,0,0,0,50,0.0,0.0,0.0
El Oro,Machala,701,1500,-3.259,-79.962,16,1414,7,243,244,407,223,260,93.8,156.5,171.5
El Oro,Pasaje,709,446,-3.329,-79.804,5,422,2,76,99,83,61,82,120.7,101.2,148.8
El Oro,Piñas,710,14,-3.665,-79.649,1,10,0,2,2,2,1,50,4.0,4.0,4.0
El Oro,Portovelo,711,28,-3.719,-79.552,1,23,0,2,5,2,2,50,10.0,4.0,8.0
El Oro,Santa Rosa,712,351,-3.449,-79.96,5,331,1,48,71,94,67,72,98.6,130.6,186.1
El Oro,Zaruma,713,26,-3.691,-79.609,0,24,0,0,6,6,5,50,12.0,12.0,20.0
Esmeraldas,Atacames,806,165,0.868,-79.841,4,145,0,38,24,22,8,42,57.1,52.4,38.1
Esmeraldas,Eloy Alfaro,802,104,1.247,-78.979,4,94,0,12,14,15,5,40,35.0,37.5,25.0
Esmeraldas,Esmeraldas,801,1567,0.954,-79.656,15,1465,15,315,194,258,117,218,89.0,118.3,107.3
Esmeraldas,Muisne,803,52,0.614,-80.021,1,44,0,7,6,2,7,50,12.0,4.0,28.0
Esmeraldas,Quinindé,804,308,0.332,-79.466,8,266,1,65,27,36,18,135,20.0,26.7,26.7
Esmeraldas,Rioverde,807,111,0.959,-79.524,5,99,1,11,8,15,4,50,16.0,30.0,16.0
Esmeraldas,San Lorenzo,805,273,1.288,-78.838,7,251,0,30,25,17,13,44,56.8,38.6,59.1
Galápagos,Santa Cruz,2003,2,-0.741,-90.315,1,1,0,0,0,0,0,15,0.0,0.0,0.0
Guayas,Alfredo Baquerizo Moreno (Juján),902,112,-1.286,-79.56,3,106,0,24,20,24,13,50,40.0,48.0,52.0
Guayas,Balao,903,180,-2.914,-79.774,1,174,1,44,35,58,5,50,70.0,116.0,20.0
Guayas,Balzar,904,275,-1.366,-79.905,5,256,6,45,34,74,16,53,64.2,139.6,60.4
Guayas,Colimes,905,53,-1.23,-79.988,3,49,0,8,10,8,6,50,20.0,16.0,24.0
