provincia,canton,codigo_canton,total_homicidios,latitud,longitud,femicidios,asesinatos,sicariatos,homicidios_2023,homicidios_2024,homicidios_2025,homicidios_2026,poblacion_miles,homicide_rate_2024,homicide_rate_2025,homicide_rate_2026_proj,local_moran_i,lisa_quadrant,gi_star_z,gi_p_value,hotspot_label
Azuay,Camilo Ponce Enríquez,115,178,-2.838308121452818,-74.34491730088013,4,154,0,28,59,12,1,50,118.0,24.0,4.0,-0.0119,High outlier (HL),-0.0549,0.9562,not significant
Azuay,Chordeleg,111,4,-2.196775,-59.082945,0,4,0,0,0,0,3,50,0.0,0.0,12.0,0.9516,Coldspot (LL),-1.0876,0.2768,not significant
Azuay,Cuenca,101,325,-2.6168060122380874,-71.49328749137544,25,217,5,24,18,22,18,600,3.0,3.7,6.0,0.2695,Coldspot (LL),-0.9038,0.3661,not significant
Azuay,El Pan,112,2,-1.419685,-39.335215,1,0,0,0,0,0,0,50,0.0,0.0,0.0,0.624,Coldspot (LL),-0.4621,0.644,not significant
Azuay,Girón,102,5,-1.8942144318453944,-47.48287923018454,0,4,0,0,1,0,0,50,2.0,0.0,0.0,1.3979,Coldspot (LL),-2.2848,0.0223,coldspot (95%)
Azuay,Guachapala,114,1,-2.774391,-78.712974,1,0,0,0,0,0,0,50,0.0,0.0,0.0,1.7832,Coldspot (LL),-1.6461,0.0997,coldspot (90%)
Azuay,Gualaceo,103,15,-1.9354888210284076,-52.51743771244551,2,8,0,1,1,1,0,50,2.0,2.0,0.0,0.9922,Coldspot (LL),-1.5336,0.1251,not significant
Azuay,Nabón,104,8,-2.487935737984985,-59.34190623898555,1,3,0,0,0,1,0,50,0.0,2.0,0.0,0.7074,Coldspot (LL),-1.6711,0.0947,coldspot (90%)
Azuay,Paute,105,5,-2.7573602,-78.73647220000001,1,3,0,0,1,0,0,50,2.0,0.0,0.0,1.7244,Coldspot (LL),-1.5327,0.1254,not significant
Azuay,Pucará,106,12,-2.7417606666666665,-66.34308341666666,0,10,0,2,6,0,0,50,12.0,0.0,0.0,1.2074,Coldspot (LL),-1.7704,0.0767,coldspot (90%)
Azuay,Santa Isabel,108,15,-2.8377415274001208,-68.7659005122241,1,12,0,1,4,2,0,50,8.0,4.0,0.0,0.0506,Coldspot (LL),-0.2317,0.8167,not significant
Azuay,Sevilla De Oro,113,2,-2.777594549999995,-78.64916794999999,0,0,0,0,0,0,0,50,0.0,0.0,0.0,1.6865,Coldspot (LL),-1.9152,0.0555,coldspot (90%)
Azuay,Sígsig,109,10,-2.743760188002263,-70.9596695790195,3,5,0,2,1,1,0,50,2.0,2.0,0.0,0.2888,Coldspot (LL),-0.7475,0.4547,not significant
Bolívar,Caluma,206,20,-1.2193675467081326,-59.4443561944224,5,12,1,2,3,2,0,50,6.0,4.0,0.0,0.3481,Coldspot (LL),-1.0222,0.3067,not significant
Bolívar,Chillanes,202,22,-1.932564022660079,-75.56256142022112,1,17,0,5,1,9,0,50,2.0,18.0,0.0,0.074,Hotspot (HH),0.4047,0.6857,not significant
Bolívar,Chimbo,203,10,-1.3314534999999998,-63.2412517,0,8,0,0,4,0,1,50,8.0,0.0,4.0,0.9941,Coldspot (LL),-0.9368,0.3489,not significant
Bolívar,Echeandía,204,12,-0.7238129382825833,-39.64993902305567,2,7,3,0,2,2,0,50,4.0,4.0,0.0,0.6016,Coldspot (LL),-1.4035,0.1605,not significant
Bolívar,Guaranda,201,55,-1.4132335926101258,-73.27287005440999,3,43,0,6,8,3,2,86,9.3,3.5,4.7,-0.0681,Low outlier (LH),0.1831,0.8547,not significant
Bolívar,Las Naves,207,48,-1.2420375833333333,-77.66352049999999,0,48,0,6,11,21,8,50,22.0,42.0,32.0,0.9734,Hotspot (HH),1.983,0.0474,hotspot (95%)
Bolívar,San Miguel,205,20,-1.6756554860934734,-75.14444991743798,2,14,0,5,1,0,0,50,2.0,0.0,0.0,-0.5202,Low outlier (LH),0.9284,0.3532,not significant
Carchi,Bolívar,402,10,0.5026599015485227,-77.9226901009265,0,7,0,11,3,8,5,50,6.0,16.0,20.0,-0.2489,High outlier (HL),-1.6181,0.1056,not significant
Carchi,Espejo,403,5,0.6408571887529912,-77.94594597406885,1,2,0,0,0,0,0,50,0.0,0.0,0.0,0.184,Coldspot (LL),-0.2422,0.8086,not significant
Carchi,Mira,404,9,0.6480410092704418,-78.15323056802818,1,5,0,0,0,2,0,50,0.0,4.0,0.0,0.2716,Coldspot (LL),-1.2253,0.2205,not significant
Carchi,Montúfar,405,20,0.5339211987561757,-70.05161008604554,5,5,0,0,3,2,1,50,6.0,4.0,4.0,0.1985,Coldspot (LL),-0.6652,0.5059,not significant
Carchi,San Pedro De Huaca,406,2,0.5984984999999995,-77.7277125,0,1,0,0,0,1,0,50,0.0,2.0,0.0,0.3115,Coldspot (LL),-0.8621,0.3886,not significant
Carchi,Tulcán,401,66,0.7772593881081916,-74.26720535334013,7,36,0,13,5,8,5,96,5.2,8.3,10.4,-0.0042,Coldspot (LL),0.1056,0.9159,not significant
Cañar,Azogues,301,56,-2.750978719727407,-78.84966152606758,3,47,0,11,6,10,3,83,7.2,12.0,7.2,-0.0741,High outlier (HL),-1.158,0.2469,not significant
