provincia,canton,poblacion_miles,latitud,longitud,gang_presence,poblacion,tasa_pobreza_pct,gini,anios_escolaridad,homicidios_2024,homicide_rate,robbery_rate_est,extortion_index,n_hr,n_rr,n_gp,n_pov,citizen_risk_score,citizen_risk_category
Guayas,Guayaquil,2720,-2.189,-79.889,9,2720000,22.3,0.48,10.2,480,17.6,400.0,90,0.004834343173907439,1.0,1.0,0.3415841584158416,50.3,High
Guayas,Durán,235,-2.179,-79.831,8,235000,22.3,0.48,10.2,480,204.3,355.55555555555554,80,0.12517725924970993,0.875,0.875,0.3415841584158416,49.5,High
Guayas,Samborondón,105,-2.028,-79.724,3,105000,22.3,0.48,10.2,480,457.1,133.33333333333331,30,0.2881268531648833,0.24999999999999997,0.25,0.3415841584158416,27.9,Elevated
Guayas,Daule,180,-1.868,-79.977,5,180000,22.3,0.48,10.2,480,266.7,222.22222222222223,50,0.1653989944566198,0.5,0.5,0.3415841584158416,34.2,Elevated
Guayas,Milagro,200,-2.129,-79.594,6,200000,22.3,0.48,10.2,480,240.0,266.66666666666663,60,0.14818873275750935,0.6249999999999999,0.625,0.3415841584158416,39.2,Elevated
Guayas,Balzar,53,-1.366,-79.905,5,53000,22.3,0.48,10.2,480,905.7,222.22222222222223,50,0.5772850328735336,0.5,0.5,0.3415841584158416,50.7,High
Pichincha,Quito,2010,-0.18,-78.467,6,2010000,10.8,0.42,11.8,203,10.1,266.66666666666663,60,0.0,0.6249999999999999,0.625,0.056930693069306954,29.0,Elevated
Pichincha,Cayambe,85,0.041,-78.16,3,85000,10.8,0.42,11.8,203,238.8,133.33333333333331,30,0.14741523784968416,0.24999999999999997,0.25,0.056930693069306954,18.0,Moderate
Pichincha,Mejía,81,-0.502,-78.567,3,81000,10.8,0.42,11.8,203,250.6,133.33333333333331,30,0.1550212711099652,0.24999999999999997,0.25,0.056930693069306954,18.3,Moderate
Pichincha,Pedro Vicente Maldonado,13,0.083,-79.052,5,13000,10.8,0.42,11.8,203,1561.5,222.22222222222223,50,1.0,0.5,0.5,0.056930693069306954,63.4,Very High
Manabí,Portoviejo,320,-1.054,-80.454,5,320000,37.5,0.46,8.7,363,113.4,222.22222222222223,50,0.06658501998195179,0.5,0.5,0.7178217821782178,35.9,Elevated
Manabí,Manta,270,-0.949,-80.746,7,270000,37.5,0.46,8.7,363,134.4,311.11111111111114,70,0.08012118086889261,0.7500000000000001,0.75,0.7178217821782178,47.7,High
Manabí,Chone,128,-0.698,-80.094,4,128000,37.5,0.46,8.7,363,283.6,177.77777777777777,40,0.1762923810751579,0.37499999999999994,0.375,0.7178217821782178,34.7,Elevated
Manabí,Pedernales,55,0.076,-80.053,7,55000,37.5,0.46,8.7,363,660.0,311.11111111111114,70,0.41891195049632585,0.7500000000000001,0.75,0.7178217821782178,61.3,Very High
Manabí,El Carmen,89,-0.28,-79.463,5,89000,37.5,0.46,8.7,363,407.9,222.22222222222223,50,0.2564135619440505,0.5,0.5,0.7178217821782178,43.5,High
Los Ríos,Babahoyo,162,-1.803,-79.534,6,162000,42.1,0.44,8.1,440,271.6,266.66666666666663,60,0.168557431996906,0.6249999999999999,0.625,0.8316831683168318,47.3,High
Los Ríos,Quevedo,185,-1.033,-79.449,8,185000,42.1,0.44,8.1,440,237.8,355.55555555555554,80,0.14677065875982984,0.875,0.875,0.8316831683168318,57.7,High
Los Ríos,Ventanas,72,-1.446,-79.471,6,72000,42.1,0.44,8.1,440,611.1,266.66666666666663,60,0.3873920330024494,0.6249999999999999,0.625,0.8316831683168318,56.1,High
Los Ríos,Vinces,76,-1.556,-79.752,5,76000,42.1,0.44,8.1,440,578.9,222.22222222222223,50,0.3666365863091401,0.5,0.5,0.8316831683168318,49.6,High
Los Ríos,Buena Fe,72,-0.912,-79.484,5,72000,42.1,0.44,8.1,440,611.1,222.22222222222223,50,0.3873920330024494,0.5,0.5,0.8316831683168318,50.5,High
Esmeraldas,Esmeraldas,218,0.954,-79.656,9,218000,48.9,0.52,7.4,546,250.5,400.0,90,0.15495681320097976,1.0,1.0,1.0,66.2,Very High
Esmeraldas,San Lorenzo,44,1.288,-78.838,8,44000,48.9,0.52,7.4,546,1240.9,355.55555555555554,80,0.7933479437927035,0.875,0.875,1.0,86.1,Severe
Esmeraldas,Eloy Alfaro,40,1.247,-78.979,7,40000,48.9,0.52,7.4,546,1365.0,311.11111111111114,70,0.8733402088436251,0.7500000000000001,0.75,1.0,83.7,Severe
Esmeraldas,Atacames,42,0.868,-79.841,7,42000,48.9,0.52,7.4,546,1300.0,311.11111111111114,70,0.831442568003094,0.7500000000000001,0.75,1.0,82.0,Severe
Esmeraldas,Quinindé,135,0.332,-79.466,8,135000,48.9,0.52,7.4,546,404.4,355.55555555555554,80,0.25415753512956035,0.875,0.875,1.0,64.5,Very High
El Oro,Machala,260,-3.259,-79.962,7,260000,25.3,0.43,9.8,305,117.3,311.11111111111114,70,0.06909887843238365,0.7500000000000001,0.75,0.4158415841584159,42.8,High
El Oro,Pasaje,82,-3.329,-79.804,5,82000,25.3,0.43,9.8,305,372.0,222.22222222222223,50,0.23327317261828023,0.5,0.5,0.4158415841584159,38.1,Elevated
El Oro,Santa Rosa,72,-3.449,-79.96,5,72000,25.3,0.43,9.8,305,423.6,222.22222222222223,50,0.26653345365476344,0.5,0.5,0.4158415841584159,39.4,Elevated
El Oro,Huaquillas,52,-3.473,-80.229,7,52000,25.3,0.43,9.8,305,586.5,311.11111111111114,70,0.37153538739203296,0.7500000000000001,0.75,0.4158415841584159,54.8,High
Azuay,Cuenca,600,-2.901,-79.006,3,600000,18.2,0.41,10.5,131,21.8,133.33333333333331,30,0.007541575351295605,0.24999999999999997,0.25,0.2400990099009901,15.2,Moderate
Azuay,Gualaceo,45,-2.889,-78.779,2,45000,18.2,0.41,10.5,131,291.1,88.88888888888889,20,0.18112672424906534,0.125,0.125,0.2400990099009901,16.5,Moderate
Santa Elena,Santa Elena,150,-2.226,-80.859,8,150000,40.2,0.45,8.4,378,252.0,355.55555555555554,80,0.15592368183576125,0.875,0.875,0.7846534653465348,57.4,High
Santa Elena,La Libertad,98,-2.223,-80.905,7,98000,40.2,0.45,8.4,378,385.7,311.11111111111114,70,0.24210390614928448,0.7500000000000001,0.75,0.7846534653465348,55.2,High
Santa Elena,Salinas,70,-2.216,-80.968,5,70000,40.2,0.45,8.4,378,540.0,222.22222222222223,50,0.34156245971380683,0.5,0.5,0.7846534653465348,47.9,High
Santo Domingo de los Tsáchilas,Santo Domingo,400,-0.253,-79.172,8,400000,36.8,0.44,8.6,365,91.2,355.55555555555554,80,0.05227536418718577,0.875,0.875,0.7004950495049505,52.0,High
Santo Domingo de los Tsáchilas,La Concordia,51,-0.005,-79.392,7,51000,36.8,0.44,8.6,365,715.7,311.11111111111114,70,0.4548150058012118,0.7500000000000001,0.75,0.7004950495049505,62.5,Very High
Imbabura,Ibarra,200,0.346,-78.131,4,200000,24.6,0.42,9.2,130,65.0,177.77777777777777,40,0.035387392033002445,0.37499999999999994,0.375,0.3985148514851486,24.3,Elevated
Imbabura,Otavalo,105,0.232,-78.262,3,105000,24.6,0.42,9.2,130,123.8,133.33333333333331,30,0.07328864251643677,0.24999999999999997,0.25,0.3985148514851486,20.2,Elevated
