provincia,canton,poblacion_miles,latitud,longitud,gang_presence,poblacion,tasa_pobreza_pct,gini,anios_escolaridad,homicidios_2024,homicide_rate,norm_homicide,norm_gang,norm_poverty,norm_gini,norm_edu_inv,crime_reality_index,risk_tier,narrative
Guayas,Guayaquil,2720,-2.189,-79.889,9,2720000,22.3,0.48,10.2,480,17.6,0.004834343173907439,1.0,0.3415841584158416,0.7142857142857141,0.4509803921568629,44.2,High,Guayaquil (Guayas): CRI 44/100 --- High risk. Gang stronghold.
Guayas,Durán,235,-2.179,-79.831,8,235000,22.3,0.48,10.2,480,204.3,0.12517725924970993,0.875,0.3415841584158416,0.7142857142857141,0.4509803921568629,45.3,High,Durán (Guayas): CRI 45/100 --- High risk. [ALERT] Homicide rate 204.3/100k Gang stronghold.
Guayas,Samborondón,105,-2.028,-79.724,3,105000,22.3,0.48,10.2,480,457.1,0.2881268531648833,0.25,0.3415841584158416,0.7142857142857141,0.4509803921568629,35.4,Moderate,Samborondón (Guayas): CRI 35/100 --- Moderate risk. [ALERT] Homicide rate 457.1/100k
Guayas,Daule,180,-1.868,-79.977,5,180000,22.3,0.48,10.2,480,266.7,0.1653989944566198,0.5,0.3415841584158416,0.7142857142857141,0.4509803921568629,37.3,Moderate,Daule (Guayas): CRI 37/100 --- Moderate risk. [ALERT] Homicide rate 266.7/100k
Guayas,Milagro,200,-2.129,-79.594,6,200000,22.3,0.48,10.2,480,240.0,0.14818873275750935,0.625,0.3415841584158416,0.7142857142857141,0.4509803921568629,39.8,Moderate,Milagro (Guayas): CRI 40/100 --- Moderate risk. [ALERT] Homicide rate 240.0/100k
Guayas,Balzar,53,-1.366,-79.905,5,53000,22.3,0.48,10.2,480,905.7,0.5772850328735336,0.5,0.3415841584158416,0.7142857142857141,0.4509803921568629,51.7,High,Balzar (Guayas): CRI 52/100 --- High risk. [ALERT] Homicide rate 905.7/100k
Pichincha,Quito,2010,-0.18,-78.467,6,2010000,10.8,0.42,11.8,203,10.1,0.0,0.625,0.056930693069306954,0.28571428571428553,0.13725490196078416,21.4,Moderate,Quito (Pichincha): CRI 21/100 --- Moderate risk.
Pichincha,Cayambe,85,0.041,-78.16,3,85000,10.8,0.42,11.8,203,238.8,0.14741523784968416,0.25,0.056930693069306954,0.28571428571428553,0.13725490196078416,17.2,Low,Cayambe (Pichincha): CRI 17/100 --- Low risk. [ALERT] Homicide rate 238.8/100k
Pichincha,Mejía,81,-0.502,-78.567,3,81000,10.8,0.42,11.8,203,250.6,0.1550212711099652,0.25,0.056930693069306954,0.28571428571428553,0.13725490196078416,17.4,Low,Mejía (Pichincha): CRI 17/100 --- Low risk. [ALERT] Homicide rate 250.6/100k
Pichincha,Pedro Vicente Maldonado,13,0.083,-79.052,5,13000,10.8,0.42,11.8,203,1561.5,1.0,0.5,0.056930693069306954,0.28571428571428553,0.13725490196078416,53.3,High,Pedro Vicente Maldonado (Pichincha): CRI 53/100 --- High risk. [ALERT] Homicide rate 1561.5/100k
Manabí,Portoviejo,320,-1.054,-80.454,5,320000,37.5,0.46,8.7,363,113.4,0.06658501998195179,0.5,0.7178217821782178,0.5714285714285715,0.7450980392156865,42.5,High,Portoviejo (Manabí): CRI 42/100 --- High risk. [ALERT] Homicide rate 113.4/100k
Manabí,Manta,270,-0.949,-80.746,7,270000,37.5,0.46,8.7,363,134.4,0.08012118086889261,0.75,0.7178217821782178,0.5714285714285715,0.7450980392156865,49.2,High,Manta (Manabí): CRI 49/100 --- High risk. [ALERT] Homicide rate 134.4/100k Gang stronghold.
Manabí,Chone,128,-0.698,-80.094,4,128000,37.5,0.46,8.7,363,283.6,0.1762923810751579,0.375,0.7178217821782178,0.5714285714285715,0.7450980392156865,43.2,High,Chone (Manabí): CRI 43/100 --- High risk. [ALERT] Homicide rate 283.6/100k
Manabí,Pedernales,55,0.076,-80.053,7,55000,37.5,0.46,8.7,363,660.0,0.41891195049632585,0.75,0.7178217821782178,0.5714285714285715,0.7450980392156865,61.1,Very High,Pedernales (Manabí): CRI 61/100 --- Very High risk. [ALERT] Homicide rate 660.0/100k Gang stronghold.
Manabí,El Carmen,89,-0.28,-79.463,5,89000,37.5,0.46,8.7,363,407.9,0.2564135619440505,0.5,0.7178217821782178,0.5714285714285715,0.7450980392156865,49.1,High,El Carmen (Manabí): CRI 49/100 --- High risk. [ALERT] Homicide rate 407.9/100k
Los Ríos,Babahoyo,162,-1.803,-79.534,6,162000,42.1,0.44,8.1,440,271.6,0.168557431996906,0.625,0.8316831683168318,0.4285714285714285,0.8627450980392158,51.2,High,Babahoyo (Los Ríos): CRI 51/100 --- High risk. [ALERT] Homicide rate 271.6/100k
Los Ríos,Quevedo,185,-1.033,-79.449,8,185000,42.1,0.44,8.1,440,237.8,0.14677065875982984,0.875,0.8316831683168318,0.4285714285714285,0.8627450980392158,56.7,High,Quevedo (Los Ríos): CRI 57/100 --- High risk. [ALERT] Homicide rate 237.8/100k Gang stronghold.
Los Ríos,Ventanas,72,-1.446,-79.471,6,72000,42.1,0.44,8.1,440,611.1,0.3873920330024494,0.625,0.8316831683168318,0.4285714285714285,0.8627450980392158,58.9,High,Ventanas (Los Ríos): CRI 59/100 --- High risk. [ALERT] Homicide rate 611.1/100k
Los Ríos,Vinces,76,-1.556,-79.752,5,76000,42.1,0.44,8.1,440,578.9,0.3666365863091401,0.5,0.8316831683168318,0.4285714285714285,0.8627450980392158,55.0,High,Vinces (Los Ríos): CRI 55/100 --- High risk. [ALERT] Homicide rate 578.9/100k
Los Ríos,Buena Fe,72,-0.912,-79.484,5,72000,42.1,0.44,8.1,440,611.1,0.3873920330024494,0.5,0.8316831683168318,0.4285714285714285,0.8627450980392158,55.8,High,Buena Fe (Los Ríos): CRI 56/100 --- High risk. [ALERT] Homicide rate 611.1/100k
Esmeraldas,Esmeraldas,218,0.954,-79.656,9,218000,48.9,0.52,7.4,546,250.5,0.15495681320097976,1.0,1.0,1.0,1.0,70.4,Very High,Esmeraldas (Esmeraldas): CRI 70/100 --- Very High risk. [ALERT] Homicide rate 250.5/100k Gang stronghold.
Esmeraldas,San Lorenzo,44,1.288,-78.838,8,44000,48.9,0.52,7.4,546,1240.9,0.7933479437927035,0.875,1.0,1.0,1.0,89.6,Critical,San Lorenzo (Esmeraldas): CRI 90/100 --- Critical risk. [ALERT] Homicide rate 1240.9/100k Gang stronghold.
Esmeraldas,Eloy Alfaro,40,1.247,-78.979,7,40000,48.9,0.52,7.4,546,1365.0,0.8733402088436251,0.75,1.0,1.0,1.0,89.3,Critical,Eloy Alfaro (Esmeraldas): CRI 89/100 --- Critical risk. [ALERT] Homicide rate 1365.0/100k Gang stronghold.
Esmeraldas,Atacames,42,0.868,-79.841,7,42000,48.9,0.52,7.4,546,1300.0,0.831442568003094,0.75,1.0,1.0,1.0,87.9,Critical,Atacames (Esmeraldas): CRI 88/100 --- Critical risk. [ALERT] Homicide rate 1300.0/100k Gang stronghold.
Esmeraldas,Quinindé,135,0.332,-79.466,8,135000,48.9,0.52,7.4,546,404.4,0.25415753512956035,0.875,1.0,1.0,1.0,70.8,Very High,Quinindé (Esmeraldas): CRI 71/100 --- Very High risk. [ALERT] Homicide rate 404.4/100k Gang stronghold.
El Oro,Machala,260,-3.259,-79.962,7,260000,25.3,0.43,9.8,305,117.3,0.06909887843238365,0.75,0.4158415841584159,0.35714285714285704,0.5294117647058822,38.9,Moderate,Machala (El Oro): CRI 39/100 --- Moderate risk. [ALERT] Homicide rate 117.3/100k Gang stronghold.
El Oro,Pasaje,82,-3.329,-79.804,5,82000,25.3,0.43,9.8,305,372.0,0.23327317261828023,0.5,0.4158415841584159,0.35714285714285704,0.5294117647058822,38.4,Moderate,Pasaje (El Oro): CRI 38/100 --- Moderate risk. [ALERT] Homicide rate 372.0/100k
El Oro,Santa Rosa,72,-3.449,-79.96,5,72000,25.3,0.43,9.8,305,423.6,0.26653345365476344,0.5,0.4158415841584159,0.35714285714285704,0.5294117647058822,39.6,Moderate,Santa Rosa (El Oro): CRI 40/100 --- Moderate risk. [ALERT] Homicide rate 423.6/100k
El Oro,Huaquillas,52,-3.473,-80.229,7,52000,25.3,0.43,9.8,305,586.5,0.37153538739203296,0.75,0.4158415841584159,0.35714285714285704,0.5294117647058822,49.5,High,Huaquillas (El Oro): CRI 50/100 --- High risk. [ALERT] Homicide rate 586.5/100k Gang stronghold.
Azuay,Cuenca,600,-2.901,-79.006,3,600000,18.2,0.41,10.5,131,21.8,0.007541575351295605,0.25,0.2400990099009901,0.21428571428571405,0.3921568627450981,18.1,Low,Cuenca (Azuay): CRI 18/100 --- Low risk.
Azuay,Gualaceo,45,-2.889,-78.779,2,45000,18.2,0.41,10.5,131,291.1,0.18112672424906534,0.125,0.2400990099009901,0.21428571428571405,0.3921568627450981,21.1,Moderate,Gualaceo (Azuay): CRI 21/100 --- Moderate risk. [ALERT] Homicide rate 291.1/100k
Santa Elena,Santa Elena,150,-2.226,-80.859,8,150000,40.2,0.45,8.4,378,252.0,0.15592368183576125,0.875,0.7846534653465348,0.5,0.803921568627451,56.2,High,Santa Elena (Santa Elena): CRI 56/100 --- High risk. [ALERT] Homicide rate 252.0/100k Gang stronghold.
Santa Elena,La Libertad,98,-2.223,-80.905,7,98000,40.2,0.45,8.4,378,385.7,0.24210390614928448,0.75,0.7846534653465348,0.5,0.803921568627451,56.1,High,La Libertad (Santa Elena): CRI 56/100 --- High risk. [ALERT] Homicide rate 385.7/100k Gang stronghold.
Santa Elena,Salinas,70,-2.216,-80.968,5,70000,40.2,0.45,8.4,378,540.0,0.34156245971380683,0.5,0.7846534653465348,0.5,0.803921568627451,53.3,High,Salinas (Santa Elena): CRI 53/100 --- High risk. [ALERT] Homicide rate 540.0/100k
Santo Domingo de los Tsáchilas,Santo Domingo,400,-0.253,-79.172,8,400000,36.8,0.44,8.6,365,91.2,0.05227536418718577,0.875,0.7004950495049505,0.4285714285714285,0.7647058823529413,50.0,High,Santo Domingo (Santo Domingo de los Tsáchilas): CRI 50/100 --- High risk. [ALERT] Homicide rate 91.2/100k Gang stronghold.
Santo Domingo de los Tsáchilas,La Concordia,51,-0.005,-79.392,7,51000,36.8,0.44,8.6,365,715.7,0.4548150058012118,0.75,0.7004950495049505,0.4285714285714285,0.7647058823529413,60.9,Very High,La Concordia (Santo Domingo de los Tsáchilas): CRI 61/100 --- Very High risk. [ALERT] Homicide rate 715.7/100k Gang stronghold.
Imbabura,Ibarra,200,0.346,-78.131,4,200000,24.6,0.42,9.2,130,65.0,0.035387392033002445,0.375,0.3985148514851486,0.28571428571428553,0.6470588235294119,29.2,Moderate,Ibarra (Imbabura): CRI 29/100 --- Moderate risk. [ALERT] Homicide rate 65.0/100k
Imbabura,Otavalo,105,0.232,-78.262,3,105000,24.6,0.42,9.2,130,123.8,0.07328864251643677,0.25,0.3985148514851486,0.28571428571428553,0.6470588235294119,27.4,Moderate,Otavalo (Imbabura): CRI 27/100 --- Moderate risk. [ALERT] Homicide rate 123.8/100k
Loja,Loja,245,-3.998,-79.205,3,245000,22.7,0.4,10.1,130,53.1,0.027716900863735978,0.25,0.35148514851485146,0.14285714285714296,0.47058823529411775,21.0,Moderate,Loja (Loja): CRI 21/100 --- Moderate risk. [ALERT] Homicide rate 53.1/100k
Chimborazo,Riobamba,265,-1.671,-78.648,3,265000,38.4,0.45,8.3,150,56.6,0.029972927678226118,0.25,0.7400990099009901,0.5,0.8235294117647058,35.8,Moderate,Riobamba (Chimborazo): CRI 36/100 --- Moderate risk. [ALERT] Homicide rate 56.6/100k
Cotopaxi,Latacunga,210,-0.933,-78.615,4,210000,35.2,0.44,8.5,122,58.1,0.030939796313007605,0.375,0.660891089108911,0.4285714285714285,0.7843137254901962,36.4,Moderate,Latacunga (Cotopaxi): CRI 36/100 --- Moderate risk. [ALERT] Homicide rate 58.1/100k
Cotopaxi,La Maná,50,-0.938,-79.224,6,50000,35.2,0.44,8.5,122,244.0,0.15076704911692665,0.625,0.660891089108911,0.4285714285714285,0.7843137254901962,46.9,High,La Maná (Cotopaxi): CRI 47/100 --- High risk. [ALERT] Homicide rate 244.0/100k
Tungurahua,Ambato,380,-1.243,-78.62,3,380000,28.1,0.43,9.6,136,35.8,0.01656568260925615,0.25,0.4851485148514852,0.35714285714285704,0.5686274509803922,26.2,Moderate,Ambato (Tungurahua): CRI 26/100 --- Moderate risk. [ALERT] Homicide rate 35.8/100k
Sucumbíos,Lago Agrio,110,0.086,-76.882,7,110000,42.7,0.47,7.9,127,115.5,0.06793863607064587,0.75,0.8465346534653466,0.6428571428571426,0.9019607843137255,53.8,High,Lago Agrio (Sucumbíos): CRI 54/100 --- High risk. [ALERT] Homicide rate 115.5/100k Gang stronghold.
Orellana,Francisco de Orellana,80,-0.467,-76.987,6,80000,46.1,0.48,7.5,145,181.2,0.11028748227407502,0.625,0.9306930693069307,0.7142857142857141,0.9803921568627452,55.3,High,Francisco de Orellana (Orellana): CRI 55/100 --- High risk. [ALERT] Homicide rate 181.2/100k
Carchi,Tulcán,96,0.813,-77.72,5,96000,32.1,0.43,9.0,132,137.5,0.08211937604744102,0.5,0.5841584158415842,0.35714285714285704,0.6862745098039216,38.0,Moderate,Tulcán (Carchi): CRI 38/100 --- Moderate risk. [ALERT] Homicide rate 137.5/100k
Cañar,Azogues,83,-2.741,-78.847,3,83000,30.5,0.41,8.8,127,153.0,0.09211035194018306,0.25,0.5445544554455446,0.21428571428571405,0.7254901960784312,30.7,Moderate,Azogues (Cañar): CRI 31/100 --- Moderate risk. [ALERT] Homicide rate 153.0/100k
Bolívar,Guaranda,86,-1.597,-79.006,3,86000,45.3,0.46,7.6,158,183.7,0.11189892999871083,0.25,0.9108910891089108,0.5714285714285715,0.9607843137254903,44.0,High,Guaranda (Bolívar): CRI 44/100 --- High risk. [ALERT] Homicide rate 183.7/100k
Zamora Chinchipe,Zamora,30,-4.069,-78.957,3,30000,43.5,0.46,8.1,149,496.7,0.31365218512311455,0.25,0.8663366336633663,0.5714285714285715,0.8627450980392158,48.9,High,Zamora (Zamora Chinchipe): CRI 49/100 --- High risk. [ALERT] Homicide rate 496.7/100k
Pastaza,Puyo,52,-1.48,-78.004,3,52000,42.8,0.48,8.3,120,230.8,0.14225860513084956,0.25,0.849009900990099,0.7142857142857141,0.8235294117647058,43.5,High,Puyo (Pastaza): CRI 44/100 --- High risk. [ALERT] Homicide rate 230.8/100k
Morona Santiago,Macas,48,-2.307,-78.113,3,48000,39.3,0.46,8.2,113,235.4,0.14522366894417946,0.25,0.7623762376237624,0.5714285714285715,0.843137254901961,41.1,High,Macas (Morona Santiago): CRI 41/100 --- High risk. [ALERT] Homicide rate 235.4/100k
Napo,Tena,62,-0.996,-77.816,4,62000,44.2,0.47,8.0,115,185.5,0.11305917236044863,0.375,0.8836633663366338,0.6428571428571426,0.8823529411764707,46.3,High,Tena (Napo): CRI 46/100 --- High risk. [ALERT] Homicide rate 185.5/100k
Galápagos,Santa Cruz,15,-0.741,-90.315,1,15000,8.5,0.38,12.5,153,1020.0,0.6509604228438829,0.0,0.0,0.0,0.0,22.8,Moderate,Santa Cruz (Galápagos): CRI 23/100 --- Moderate risk. [ALERT] Homicide rate 1020.0/100k
