fecha,provincia,homicidios,muertes_violentas,femicidios,robos,extorsiones,secuestros,anio,mes,trimestre
2018-01-01,Azuay,10,17,0,49,3,2,2018,1,1
2018-01-01,Bolívar,7,12,0,53,1,0,2018,1,1
2018-01-01,Cañar,10,11,1,61,3,0,2018,1,1
2018-01-01,Carchi,6,14,0,52,3,2,2018,1,1
2018-01-01,Cotopaxi,16,21,0,40,3,0,2018,1,1
2018-01-01,Chimborazo,11,18,2,63,2,0,2018,1,1
2018-01-01,El Oro,31,30,1,141,10,0,2018,1,1
2018-01-01,Esmeraldas,40,70,2,206,15,2,2018,1,1
2018-01-01,Guayas,48,48,1,223,10,0,2018,1,1
2018-01-01,Imbabura,9,17,2,58,1,0,2018,1,1
2018-01-01,Loja,11,12,0,49,4,0,2018,1,1
2018-01-01,Los Ríos,32,48,0,198,4,1,2018,1,1
2018-01-01,Manabí,30,41,1,144,11,0,2018,1,1
2018-01-01,Morona Santiago,9,18,0,61,2,0,2018,1,1
2018-01-01,Napo,11,16,1,54,4,0,2018,1,1
2018-01-01,Pastaza,8,20,1,60,2,0,2018,1,1
2018-01-01,Pichincha,19,32,1,89,6,0,2018,1,1
2018-01-01,Tungurahua,17,15,2,59,4,1,2018,1,1
2018-01-01,Zamora Chinchipe,11,18,2,54,1,0,2018,1,1
2018-01-01,Galápagos,11,12,0,55,3,0,2018,1,1
2018-01-01,Sucumbíos,4,15,2,54,2,0,2018,1,1
2018-01-01,Orellana,13,10,0,59,5,0,2018,1,1
2018-01-01,Santo Domingo de los Tsáchilas,25,45,0,128,8,1,2018,1,1
2018-01-01,Santa Elena,18,44,2,142,9,2,2018,1,1
2018-02-01,Azuay,5,17,0,69,2,0,2018,2,1
2018-02-01,Bolívar,12,12,3,57,6,1,2018,2,1
2018-02-01,Cañar,15,21,0,72,5,0,2018,2,1
2018-02-01,Carchi,9,19,0,44,3,0,2018,2,1
2018-02-01,Cotopaxi,14,9,1,68,1,1,2018,2,1
2018-02-01,Chimborazo,10,18,0,67,2,0,2018,2,1
2018-02-01,El Oro,15,26,3,129,4,1,2018,2,1
2018-02-01,Esmeraldas,45,64,3,262,13,0,2018,2,1
2018-02-01,Guayas,39,55,4,229,13,2,2018,2,1
2018-02-01,Imbabura,3,13,1,62,5,0,2018,2,1
2018-02-01,Loja,12,12,0,78,3,0,2018,2,1
2018-02-01,Los Ríos,38,53,4,171,6,1,2018,2,1
2018-02-01,Manabí,28,36,2,154,7,0,2018,2,1
2018-02-01,Morona Santiago,7,17,0,71,2,0,2018,2,1
2018-02-01,Napo,7,11,0,59,3,1,2018,2,1
2018-02-01,Pastaza,17,12,1,53,4,0,2018,2,1
2018-02-01,Pichincha,14,31,1,93,3,0,2018,2,1
2018-02-01,Tungurahua,8,10,1,67,1,0,2018,2,1
2018-02-01,Zamora Chinchipe,14,10,0,63,4,0,2018,2,1
2018-02-01,Galápagos,8,11,0,71,3,0,2018,2,1
2018-02-01,Sucumbíos,15,11,1,61,2,0,2018,2,1
2018-02-01,Orellana,11,9,0,62,2,0,2018,2,1
2018-02-01,Santo Domingo de los Tsáchilas,23,47,3,159,10,0,2018,2,1
2018-02-01,Santa Elena,37,35,3,189,12,0,2018,2,1
2018-03-01,Azuay,18,13,1,61,2,0,2018,3,1
2018-03-01,Bolívar,14,16,1,69,2,1,2018,3,1
2018-03-01,Cañar,8,18,1,54,3,0,2018,3,1
2018-03-01,Carchi,18,16,1,62,4,0,2018,3,1
2018-03-01,Cotopaxi,17,20,2,62,1,1,2018,3,1
2018-03-01,Chimborazo,10,15,0,57,2,0,2018,3,1
2018-03-01,El Oro,20,33,1,143,5,1,2018,3,1
2018-03-01,Esmeraldas,47,66,2,245,15,1,2018,3,1
2018-03-01,Guayas,39,45,3,222,13,0,2018,3,1
2018-03-01,Imbabura,8,17,0,68,2,0,2018,3,1
2018-03-01,Loja,15,17,0,72,1,0,2018,3,1
2018-03-01,Los Ríos,29,46,2,185,13,0,2018,3,1
2018-03-01,Manabí,25,41,0,156,4,0,2018,3,1
2018-03-01,Morona Santiago,12,19,0,51,4,1,2018,3,1
2018-03-01,Napo,10,6,1,63,2,0,2018,3,1
2018-03-01,Pastaza,9,15,2,63,4,0,2018,3,1
2018-03-01,Pichincha,21,27,0,105,4,1,2018,3,1
2018-03-01,Tungurahua,19,11,2,64,3,2,2018,3,1
2018-03-01,Zamora Chinchipe,8,22,1,77,4,0,2018,3,1
2018-03-01,Galápagos,8,13,0,56,5,0,2018,3,1
2018-03-01,Sucumbíos,16,20,3,67,6,0,2018,3,1
2018-03-01,Orellana,8,13,0,54,0,1,2018,3,1
2018-03-01,Santo Domingo de los Tsáchilas,29,47,3,168,9,1,2018,3,1
2018-03-01,Santa Elena,31,47,2,174,11,0,2018,3,1
2018-04-01,Azuay,10,18,0,53,2,0,2018,4,2
2018-04-01,Bolívar,12,13,1,70,9,2,2018,4,2
2018-04-01,Cañar,15,13,0,60,4,0,2018,4,2
2018-04-01,Carchi,12,13,1,75,1,0,2018,4,2
2018-04-01,Cotopaxi,5,13,0,50,0,0,2018,4,2
2018-04-01,Chimborazo,9,18,0,58,3,0,2018,4,2
2018-04-01,El Oro,28,27,2,133,5,1,2018,4,2
2018-04-01,Esmeraldas,53,83,6,245,12,0,2018,4,2
2018-04-01,Guayas,44,46,0,217,14,1,2018,4,2
2018-04-01,Imbabura,5,15,0,64,1,0,2018,4,2
2018-04-01,Loja,6,15,1,60,1,0,2018,4,2
2018-04-01,Los Ríos,33,48,2,168,9,1,2018,4,2
2018-04-01,Manabí,37,45,3,129,9,1,2018,4,2
2018-04-01,Morona Santiago,13,17,0,54,5,1,2018,4,2
2018-04-01,Napo,16,14,0,58,4,0,2018,4,2
2018-04-01,Pastaza,7,21,0,84,4,0,2018,4,2
2018-04-01,Pichincha,16,18,1,99,5,0,2018,4,2
2018-04-01,Tungurahua,11,19,0,62,1,0,2018,4,2
2018-04-01,Zamora Chinchipe,14,15,1,70,1,0,2018,4,2
2018-04-01,Galápagos,3,14,0,60,3,1,2018,4,2
2018-04-01,Sucumbíos,16,15,1,65,3,0,2018,4,2
2018-04-01,Orellana,16,17,2,63,1,1,2018,4,2
2018-04-01,Santo Domingo de los Tsáchilas,33,44,1,159,13,0,2018,4,2
2018-04-01,Santa Elena,29,41,1,160,9,0,2018,4,2
2018-05-01,Azuay,9,13,0,61,3,0,2018,5,2
2018-05-01,Bolívar,16,21,1,47,2,1,2018,5,2
2018-05-01,Cañar,9,17,0,48,3,0,2018,5,2
2018-05-01,Carchi,12,24,1,76,3,0,2018,5,2
2018-05-01,Cotopaxi,10,20,0,65,3,0,2018,5,2
2018-05-01,Chimborazo,10,10,1,46,3,0,2018,5,2
2018-05-01,El Oro,26,37,2,116,3,1,2018,5,2
2018-05-01,Esmeraldas,40,55,1,248,12,2,2018,5,2
2018-05-01,Guayas,36,53,1,211,7,0,2018,5,2
2018-05-01,Imbabura,11,14,0,62,3,2,2018,5,2
2018-05-01,Loja,15,16,1,66,1,0,2018,5,2
2018-05-01,Los Ríos,30,35,2,181,15,1,2018,5,2
2018-05-01,Manabí,31,44,4,137,4,0,2018,5,2
2018-05-01,Morona Santiago,19,25,0,58,2,0,2018,5,2
2018-05-01,Napo,12,14,1,52,1,0,2018,5,2
2018-05-01,Pastaza,13,19,0,61,2,0,2018,5,2
2018-05-01,Pichincha,13,22,2,89,1,1,2018,5,2
2018-05-01,Tungurahua,11,24,0,59,2,0,2018,5,2
2018-05-01,Zamora Chinchipe,9,14,0,57,6,1,2018,5,2
2018-05-01,Galápagos,16,16,2,44,3,0,2018,5,2
2018-05-01,Sucumbíos,5,17,0,55,2,0,2018,5,2
2018-05-01,Orellana,8,12,1,51,4,2,2018,5,2
2018-05-01,Santo Domingo de los Tsáchilas,31,46,0,152,7,0,2018,5,2
2018-05-01,Santa Elena,39,37,3,177,9,0,2018,5,2
2018-06-01,Azuay,7,18,0,58,5,0,2018,6,2
2018-06-01,Bolívar,10,11,1,54,3,0,2018,6,2
2018-06-01,Cañar,9,15,1,62,3,0,2018,6,2
2018-06-01,Carchi,9,15,0,60,3,0,2018,6,2
2018-06-01,Cotopaxi,10,7,0,57,4,0,2018,6,2
2018-06-01,Chimborazo,4,17,1,55,2,0,2018,6,2
2018-06-01,El Oro,25,34,2,125,6,0,2018,6,2
2018-06-01,Esmeraldas,49,56,2,244,8,1,2018,6,2
2018-06-01,Guayas,29,55,3,204,17,0,2018,6,2
2018-06-01,Imbabura,8,11,1,63,1,0,2018,6,2
2018-06-01,Loja,16,14,0,67,4,0,2018,6,2
2018-06-01,Los Ríos,29,47,3,170,9,1,2018,6,2
2018-06-01,Manabí,18,36,4,149,4,1,2018,6,2
2018-06-01,Morona Santiago,8,12,0,49,6,0,2018,6,2
2018-06-01,Napo,10,14,0,59,3,0,2018,6,2
2018-06-01,Pastaza,8,15,1,68,3,2,2018,6,2
2018-06-01,Pichincha,12,29,0,86,5,2,2018,6,2
2018-06-01,Tungurahua,7,13,0,57,2,0,2018,6,2
2018-06-01,Zamora Chinchipe,14,16,0,64,3,0,2018,6,2
2018-06-01,Galápagos,5,9,0,62,5,0,2018,6,2
2018-06-01,Sucumbíos,12,16,0,65,4,0,2018,6,2
2018-06-01,Orellana,7,12,3,60,3,0,2018,6,2
2018-06-01,Santo Domingo de los Tsáchilas,28,39,1,149,8,2,2018,6,2
2018-06-01,Santa Elena,36,48,2,150,6,3,2018,6,2
2018-07-01,Azuay,15,7,1,63,0,1,2018,7,3
2018-07-01,Bolívar,5,19,2,54,3,1,2018,7,3
2018-07-01,Cañar,11,14,0,54,5,0,2018,7,3
2018-07-01,Carchi,11,10,0,36,3,0,2018,7,3
2018-07-01,Cotopaxi,11,10,0,34,4,1,2018,7,3
2018-07-01,Chimborazo,5,8,0,64,3,0,2018,7,3
2018-07-01,El Oro,22,40,1,134,3,1,2018,7,3
2018-07-01,Esmeraldas,31,53,1,226,5,3,2018,7,3
2018-07-01,Guayas,38,50,1,213,5,1,2018,7,3
2018-07-01,Imbabura,6,12,1,58,2,1,2018,7,3
2018-07-01,Loja,9,14,1,58,2,1,2018,7,3
2018-07-01,Los Ríos,25,45,1,165,9,2,2018,7,3
2018-07-01,Manabí,13,33,0,148,11,0,2018,7,3
2018-07-01,Morona Santiago,8,9,0,52,1,0,2018,7,3
2018-07-01,Napo,8,12,0,52,5,0,2018,7,3
2018-07-01,Pastaza,7,14,3,63,3,2,2018,7,3
2018-07-01,Pichincha,16,22,0,76,8,0,2018,7,3
2018-07-01,Tungurahua,17,13,1,64,3,0,2018,7,3
2018-07-01,Zamora Chinchipe,12,16,0,51,1,1,2018,7,3
2018-07-01,Galápagos,14,9,1,56,1,0,2018,7,3
2018-07-01,Sucumbíos,9,12,2,71,1,0,2018,7,3
2018-07-01,Orellana,13,5,0,49,5,0,2018,7,3
2018-07-01,Santo Domingo de los Tsáchilas,23,34,0,163,9,1,2018,7,3
2018-07-01,Santa Elena,33,38,0,158,2,1,2018,7,3
2018-08-01,Azuay,4,10,0,41,2,1,2018,8,3
2018-08-01,Bolívar,10,9,2,68,1,1,2018,8,3
2018-08-01,Cañar,8,12,1,55,4,0,2018,8,3
2018-08-01,Carchi,10,8,0,60,2,0,2018,8,3
2018-08-01,Cotopaxi,9,11,1,59,1,0,2018,8,3
2018-08-01,Chimborazo,5,17,2,51,1,0,2018,8,3
2018-08-01,El Oro,18,34,0,120,3,0,2018,8,3
2018-08-01,Esmeraldas,41,54,4,202,8,2,2018,8,3
2018-08-01,Guayas,28,49,0,220,9,0,2018,8,3
2018-08-01,Imbabura,14,10,0,39,6,1,2018,8,3
2018-08-01,Loja,10,19,1,48,1,0,2018,8,3
2018-08-01,Los Ríos,33,37,2,174,12,1,2018,8,3
2018-08-01,Manabí,25,18,0,149,13,0,2018,8,3
2018-08-01,Morona Santiago,7,20,0,59,4,1,2018,8,3
2018-08-01,Napo,5,12,0,48,1,0,2018,8,3
2018-08-01,Pastaza,16,14,0,53,3,0,2018,8,3
2018-08-01,Pichincha,12,18,1,82,10,1,2018,8,3
2018-08-01,Tungurahua,14,17,2,46,3,0,2018,8,3
2018-08-01,Zamora Chinchipe,10,17,1,36,2,0,2018,8,3
2018-08-01,Galápagos,9,12,1,55,2,0,2018,8,3
2018-08-01,Sucumbíos,8,16,0,49,1,0,2018,8,3
2018-08-01,Orellana,8,7,1,47,4,0,2018,8,3
2018-08-01,Santo Domingo de los Tsáchilas,23,26,3,144,4,0,2018,8,3
2018-08-01,Santa Elena,41,44,2,129,5,1,2018,8,3
2018-09-01,Azuay,7,10,0,46,4,2,2018,9,3
2018-09-01,Bolívar,13,11,1,50,2,0,2018,9,3
2018-09-01,Cañar,7,13,0,64,3,0,2018,9,3
2018-09-01,Carchi,8,11,0,52,3,2,2018,9,3
2018-09-01,Cotopaxi,14,14,1,56,1,0,2018,9,3
2018-09-01,Chimborazo,6,18,0,41,3,0,2018,9,3
2018-09-01,El Oro,18,43,1,115,8,1,2018,9,3
2018-09-01,Esmeraldas,36,56,2,206,4,1,2018,9,3
2018-09-01,Guayas,38,47,3,196,9,1,2018,9,3
2018-09-01,Imbabura,10,10,0,38,4,0,2018,9,3
2018-09-01,Loja,6,16,1,59,2,0,2018,9,3
2018-09-01,Los Ríos,24,50,5,167,6,0,2018,9,3
2018-09-01,Manabí,33,27,2,138,7,1,2018,9,3
2018-09-01,Morona Santiago,11,10,1,53,4,2,2018,9,3
2018-09-01,Napo,11,8,0,58,2,0,2018,9,3
2018-09-01,Pastaza,16,19,0,59,1,0,2018,9,3
2018-09-01,Pichincha,17,15,2,75,5,1,2018,9,3
2018-09-01,Tungurahua,11,14,0,36,1,0,2018,9,3
2018-09-01,Zamora Chinchipe,13,17,0,66,1,0,2018,9,3
2018-09-01,Galápagos,7,23,0,58,1,0,2018,9,3
2018-09-01,Sucumbíos,7,17,0,51,2,0,2018,9,3
2018-09-01,Orellana,8,12,0,55,6,0,2018,9,3
2018-09-01,Santo Domingo de los Tsáchilas,26,35,3,134,7,1,2018,9,3
2018-09-01,Santa Elena,28,40,1,139,9,0,2018,9,3
2018-10-01,Azuay,10,14,0,51,1,1,2018,10,4
2018-10-01,Bolívar,10,12,0,49,4,0,2018,10,4
2018-10-01,Cañar,7,16,1,44,3,1,2018,10,4
2018-10-01,Carchi,9,11,3,54,5,0,2018,10,4
2018-10-01,Cotopaxi,8,12,0,45,1,0,2018,10,4
2018-10-01,Chimborazo,14,5,0,56,5,0,2018,10,4
2018-10-01,El Oro,17,27,1,127,5,0,2018,10,4
