provincia,anio,mes,homicidios,asesinatos,sicariatos,femicidios,fecha,trimestre
Azuay,2014,1,3,3,0,0,2014-01-01,1
Azuay,2014,2,3,3,0,0,2014-02-01,1
Azuay,2014,3,3,2,0,0,2014-03-01,1
Azuay,2014,4,5,4,0,0,2014-04-01,2
Azuay,2014,5,3,3,0,0,2014-05-01,2
Azuay,2014,6,5,5,0,0,2014-06-01,2
Azuay,2014,7,1,1,0,0,2014-07-01,3
Azuay,2014,8,6,1,0,0,2014-08-01,3
Azuay,2014,9,3,2,0,0,2014-09-01,3
Azuay,2014,10,1,0,0,0,2014-10-01,4
Azuay,2014,11,1,1,0,0,2014-11-01,4
Azuay,2014,12,3,1,0,0,2014-12-01,4
Azuay,2015,1,1,1,0,0,2015-01-01,1
Azuay,2015,2,1,1,0,0,2015-02-01,1
Azuay,2015,3,3,2,0,0,2015-03-01,1
Azuay,2015,4,3,2,0,0,2015-04-01,2
Azuay,2015,5,3,3,0,0,2015-05-01,2
Azuay,2015,6,5,3,1,0,2015-06-01,2
Azuay,2015,7,2,1,0,1,2015-07-01,3
Azuay,2015,8,2,2,0,0,2015-08-01,3
Azuay,2015,9,1,0,0,0,2015-09-01,3
Azuay,2015,10,3,3,0,0,2015-10-01,4
Azuay,2015,11,4,3,0,1,2015-11-01,4
Azuay,2016,1,2,1,0,0,2016-01-01,1
Azuay,2016,2,1,1,0,0,2016-02-01,1
Azuay,2016,3,3,2,0,0,2016-03-01,1
Azuay,2016,4,3,3,0,0,2016-04-01,2
Azuay,2016,5,6,5,0,1,2016-05-01,2
Azuay,2016,6,3,2,0,0,2016-06-01,2
Azuay,2016,7,3,3,0,0,2016-07-01,3
Azuay,2016,8,1,0,0,0,2016-08-01,3
Azuay,2016,9,3,3,0,0,2016-09-01,3
Azuay,2016,10,6,4,0,1,2016-10-01,4
Azuay,2016,11,3,0,0,2,2016-11-01,4
Azuay,2016,12,1,0,0,0,2016-12-01,4
Azuay,2017,1,4,2,0,0,2017-01-01,1
Azuay,2017,2,2,1,0,0,2017-02-01,1
Azuay,2017,3,7,5,0,1,2017-03-01,1
Azuay,2017,4,5,4,0,1,2017-04-01,2
Azuay,2017,5,5,5,0,0,2017-05-01,2
Azuay,2017,6,2,1,0,1,2017-06-01,2
Azuay,2017,7,4,4,0,0,2017-07-01,3
Azuay,2017,8,6,3,0,2,2017-08-01,3
Azuay,2017,9,2,2,0,0,2017-09-01,3
Azuay,2017,10,3,1,0,1,2017-10-01,4
Azuay,2017,11,1,1,0,0,2017-11-01,4
