anio,mes,total,asesinatos,sicariatos,femicidios,fecha
2014,1,151,108,4,0,2014-01-01
2014,2,101,56,2,1,2014-02-01
2014,3,129,86,1,0,2014-03-01
2014,4,120,86,2,0,2014-04-01
2014,5,107,64,1,0,2014-05-01
2014,6,115,76,0,0,2014-06-01
2014,7,82,51,3,0,2014-07-01
2014,8,114,64,4,5,2014-08-01
2014,9,90,62,2,3,2014-09-01
2014,10,82,44,2,6,2014-10-01
2014,11,106,76,4,5,2014-11-01
2014,12,113,74,5,6,2014-12-01
2015,1,98,81,5,2,2015-01-01
2015,2,82,65,3,2,2015-02-01
2015,3,106,86,3,6,2015-03-01
2015,4,85,68,6,3,2015-04-01
2015,5,95,79,0,6,2015-05-01
2015,6,100,78,3,4,2015-06-01
2015,7,75,60,2,7,2015-07-01
2015,8,78,66,2,5,2015-08-01
2015,9,82,64,2,5,2015-09-01
2015,10,89,69,4,4,2015-10-01
2015,11,82,55,0,5,2015-11-01
2015,12,78,58,1,7,2015-12-01
2016,1,99,67,1,7,2016-01-01
2016,2,73,58,1,7,2016-02-01
2016,3,78,56,0,6,2016-03-01
2016,4,77,63,0,0,2016-04-01
2016,5,89,74,0,9,2016-05-01
2016,6,84,73,0,7,2016-06-01
2016,7,87,67,0,4,2016-07-01
2016,8,72,50,0,4,2016-08-01
2016,9,82,63,1,8,2016-09-01
2016,10,56,43,0,6,2016-10-01
2016,11,89,72,0,8,2016-11-01
2016,12,73,51,2,4,2016-12-01
2017,1,95,66,0,15,2017-01-01
2017,2,90,74,1,10,2017-02-01
2017,3,93,68,0,9,2017-03-01
2017,4,86,75,0,5,2017-04-01
2017,5,90,72,1,7,2017-05-01
2017,6,80,58,0,10,2017-06-01
2017,7,75,60,1,8,2017-07-01
2017,8,68,47,0,9,2017-08-01
2017,9,71,54,0,5,2017-09-01
2017,10,69,54,0,4,2017-10-01
2017,11,65,50,1,6,2017-11-01
2017,12,88,67,0,12,2017-12-01
2018,1,73,56,0,8,2018-01-01
2018,2,86,59,0,6,2018-02-01
2018,3,89,66,0,6,2018-03-01
2018,4,99,64,1,7,2018-04-01
2018,5,98,72,1,8,2018-05-01
2018,6,76,59,0,6,2018-06-01
2018,7,71,52,0,3,2018-07-01
2018,8,76,52,0,4,2018-08-01
2018,9,89,65,1,4,2018-09-01
2018,10,76,59,0,5,2018-10-01
2018,11,83,57,6,4,2018-11-01
2018,12,80,50,1,6,2018-12-01
2019,1,83,60,1,3,2019-01-01
2019,2,87,72,0,5,2019-02-01
2019,3,83,61,0,7,2019-03-01
2019,4,118,97,0,7,2019-04-01
2019,5,103,80,0,7,2019-05-01
2019,6,101,73,0,8,2019-06-01
2019,7,90,72,0,3,2019-07-01
2019,8,89,70,0,2,2019-08-01
2019,9,95,67,2,6,2019-09-01
2019,10,115,79,0,8,2019-10-01
2019,11,111,80,0,4,2019-11-01
2019,12,114,82,3,4,2019-12-01
2020,1,113,81,0,3,2020-01-01
2020,2,116,87,0,4,2020-02-01
2020,3,80,53,2,1,2020-03-01
2020,4,88,68,0,3,2020-04-01
2020,5,96,65,1,9,2020-05-01
2020,6,115,93,0,4,2020-06-01
2020,7,93,73,2,4,2020-07-01
2020,8,122,84,2,9,2020-08-01
2020,9,105,77,2,7,2020-09-01
2020,10,138,113,0,4,2020-10-01
2020,11,148,107,0,15,2020-11-01
2020,12,157,128,2,5,2020-12-01
2021,1,122,97,0,4,2021-01-01
2021,2,226,192,4,7,2021-02-01
2021,3,173,145,1,6,2021-03-01
2021,4,176,149,1,9,2021-04-01
2021,5,172,148,0,7,2021-05-01
2021,6,170,140,0,5,2021-06-01
2021,7,198,175,3,4,2021-07-01
2021,8,203,182,2,3,2021-08-01
2021,9,325,297,1,5,2021-09-01
2021,10,225,190,3,6,2021-10-01
2021,11,282,250,1,5,2021-11-01
2021,12,223,182,4,8,2021-12-01
2022,1,318,281,4,3,2022-01-01
2022,2,317,297,0,10,2022-02-01
2022,3,350,318,4,10,2022-03-01
2022,4,373,330,1,5,2022-04-01
2022,5,435,406,1,10,2022-05-01
2022,6,363,324,3,9,2022-06-01
2022,7,411,378,5,5,2022-07-01
2022,8,401,347,2,6,2022-08-01
2022,9,483,443,6,6,2022-09-01
2022,10,477,429,7,7,2022-10-01
2022,11,425,374,10,6,2022-11-01
2022,12,533,485,1,10,2022-12-01
2023,1,534,481,1,5,2023-01-01
2023,2,505,456,3,14,2023-02-01
2023,3,659,581,0,16,2023-03-01
2023,4,645,590,3,5,2023-04-01
2023,5,662,597,7,7,2023-05-01
2023,6,710,658,7,6,2023-06-01
2023,7,795,750,1,9,2023-07-01
2023,8,602,556,0,8,2023-08-01
2023,9,781,726,2,18,2023-09-01
2023,10,833,766,3,12,2023-10-01
2023,11,766,723,3,7,2023-11-01
2023,12,756,701,2,6,2023-12-01
2024,1,507,470,3,11,2024-01-01
2024,2,388,354,0,6,2024-02-01
2024,3,536,498,1,11,2024-03-01
2024,4,526,489,1,6,2024-04-01
2024,5,585,541,2,9,2024-05-01
2024,6,611,557,7,11,2024-06-01
2024,7,600,546,5,3,2024-07-01
2024,8,621,575,1,5,2024-08-01
2024,9,610,568,2,4,2024-09-01
2024,10,702,668,2,6,2024-10-01
2024,11,666,625,6,4,2024-11-01
2024,12,713,679,4,9,2024-12-01
2025,1,800,768,5,5,2025-01-01
2025,2,751,704,2,7,2025-02-01
