fecha,poblacion_penitenciaria,capacidad_oficial,hacinamiento_pct,muertes_violentas_intramuros,anio,mes
2018-01-01,27457,29000,-5.3,3,2018,1
2018-02-01,28498,29000,-1.7,4,2018,2
2018-03-01,27776,29000,-4.2,0,2018,3
2018-04-01,28834,29000,-0.6,2,2018,4
2018-05-01,28063,29000,-3.2,6,2018,5
2018-06-01,27349,29000,-5.7,2,2018,6
2018-07-01,27625,29000,-4.7,3,2018,7
2018-08-01,28120,29000,-3.0,4,2018,8
2018-09-01,27560,29000,-5.0,3,2018,9
2018-10-01,28141,29000,-3.0,4,2018,10
2018-11-01,28185,29000,-2.8,2,2018,11
2018-12-01,28587,29000,-1.4,5,2018,12
2019-01-01,29581,29000,2.0,2,2019,1
2019-02-01,29368,29000,1.3,1,2019,2
2019-03-01,28396,29000,-2.1,3,2019,3
2019-04-01,28911,29000,-0.3,2,2019,4
2019-05-01,29067,29000,0.2,3,2019,5
2019-06-01,28417,29000,-2.0,3,2019,6
2019-07-01,28414,29000,-2.0,6,2019,7
2019-08-01,28030,29000,-3.3,2,2019,8
2019-09-01,29876,29000,3.0,1,2019,9
2019-10-01,28915,29000,-0.3,5,2019,10
2019-11-01,28291,29000,-2.4,2,2019,11
2019-12-01,28151,29000,-2.9,3,2019,12
2020-01-01,29332,29000,1.1,6,2020,1
2020-02-01,29196,29000,0.7,5,2020,2
2020-03-01,28981,29000,-0.1,2,2020,3
2020-04-01,29500,29000,1.7,5,2020,4
2020-05-01,29697,29000,2.4,3,2020,5
2020-06-01,29600,29000,2.1,2,2020,6
2020-07-01,30047,29000,3.6,5,2020,7
2020-08-01,29828,29000,2.9,6,2020,8
2020-09-01,29523,29000,1.8,2,2020,9
2020-10-01,29150,29000,0.5,4,2020,10
2020-11-01,30037,29000,3.6,3,2020,11
2020-12-01,29710,29000,2.4,1,2020,12
2021-01-01,30345,29000,4.6,19,2021,1
2021-02-01,30545,29000,5.3,10,2021,2
2021-03-01,30596,29000,5.5,17,2021,3
2021-04-01,30226,29000,4.2,18,2021,4
2021-05-01,29171,29000,0.6,19,2021,5
2021-06-01,30835,29000,6.3,15,2021,6
2021-07-01,30945,29000,6.7,12,2021,7
2021-08-01,30269,29000,4.4,22,2021,8
2021-09-01,30460,29000,5.0,16,2021,9
2021-10-01,30057,29000,3.6,7,2021,10
2021-11-01,30395,29000,4.8,17,2021,11
2021-12-01,30338,29000,4.6,14,2021,12
2022-01-01,31603,29000,9.0,14,2022,1
2022-02-01,31311,29000,8.0,20,2022,2
2022-03-01,32202,29000,11.0,15,2022,3
2022-04-01,31104,29000,7.3,22,2022,4
2022-05-01,31341,29000,8.1,13,2022,5
2022-06-01,30459,29000,5.0,13,2022,6
2022-07-01,30953,29000,6.7,18,2022,7
2022-08-01,30823,29000,6.3,15,2022,8
2022-09-01,31610,29000,9.0,12,2022,9
2022-10-01,30234,29000,4.3,14,2022,10
2022-11-01,31528,29000,8.7,26,2022,11
2022-12-01,31679,29000,9.2,22,2022,12
2023-01-01,32051,29000,10.5,20,2023,1
2023-02-01,32189,29000,11.0,10,2023,2
2023-03-01,32004,29000,10.4,18,2023,3
2023-04-01,32612,29000,12.5,13,2023,4
2023-05-01,31530,29000,8.7,16,2023,5
2023-06-01,32673,29000,12.7,25,2023,6
2023-07-01,32206,29000,11.1,17,2023,7
2023-08-01,32482,29000,12.0,17,2023,8
2023-09-01,31300,29000,7.9,22,2023,9
2023-10-01,31533,29000,8.7,24,2023,10
2023-11-01,32275,29000,11.3,21,2023,11
2023-12-01,32574,29000,12.3,15,2023,12
2024-01-01,32659,29000,12.6,13,2024,1
2024-02-01,33664,29000,16.1,6,2024,2
2024-03-01,32335,29000,11.5,13,2024,3
2024-04-01,33139,29000,14.3,13,2024,4
2024-05-01,32875,29000,13.4,11,2024,5
2024-06-01,32665,29000,12.6,6,2024,6
2024-07-01,33201,29000,14.5,11,2024,7
2024-08-01,32924,29000,13.5,9,2024,8
2024-09-01,33128,29000,14.2,9,2024,9
2024-10-01,32592,29000,12.4,7,2024,10
2024-11-01,32969,29000,13.7,9,2024,11
2024-12-01,33399,29000,15.2,7,2024,12
2025-01-01,34387,29000,18.6,11,2025,1
2025-02-01,34425,29000,18.7,12,2025,2
2025-03-01,34285,29000,18.2,8,2025,3
2025-04-01,33597,29000,15.9,6,2025,4
2025-05-01,34422,29000,18.7,12,2025,5
2025-06-01,34886,29000,20.3,9,2025,6
2025-07-01,33119,29000,14.2,10,2025,7
2025-08-01,34434,29000,18.7,8,2025,8
2025-09-01,33857,29000,16.7,16,2025,9
2025-10-01,35541,29000,22.6,10,2025,10
2025-11-01,34414,29000,18.7,8,2025,11
2025-12-01,34376,29000,18.5,8,2025,12
2026-01-01,34537,29000,19.1,9,2026,1
2026-02-01,34812,29000,20.0,11,2026,2
2026-03-01,34218,29000,18.0,11,2026,3
2026-04-01,35194,29000,21.4,13,2026,4
2026-05-01,35059,29000,20.9,14,2026,5
2026-06-01,35405,29000,22.1,7,2026,6
