provincia,poblacion_miles,tasa_pobreza_pct,gini,anios_escolaridad
Azuay,880,18.2,0.41,10.5
Bolívar,210,45.3,0.46,7.6
Cañar,260,30.5,0.41,8.8
Carchi,180,32.1,0.43,9.0
Cotopaxi,470,35.2,0.44,8.5
Chimborazo,520,38.4,0.45,8.3
El Oro,720,25.3,0.43,9.8
Esmeraldas,590,48.9,0.52,7.4
Guayas,4430,22.3,0.48,10.2
Imbabura,440,24.6,0.42,9.2
Loja,500,22.7,0.4,10.1
Los Ríos,920,42.1,0.44,8.1
Manabí,1580,37.5,0.46,8.7
Morona Santiago,190,39.3,0.46,8.2
Napo,130,44.2,0.47,8.0
Pastaza,110,42.8,0.48,8.3
Pichincha,3220,10.8,0.42,11.8
Tungurahua,460,28.1,0.43,9.6
Zamora Chinchipe,110,43.5,0.46,8.1
Galápagos,35,8.5,0.38,12.5
Sucumbíos,210,42.7,0.47,7.9
Orellana,150,46.1,0.48,7.5
Santo Domingo de los Tsáchilas,490,36.8,0.44,8.6
Santa Elena,310,40.2,0.45,8.4
