provincia,canton,poblacion_miles,latitud,longitud,gang_presence,poblacion,tasa_pobreza_pct,gini,anios_escolaridad,homicidios_2024,homicide_rate,violence_pressure,spillover_pct
Guayas,Guayaquil,2720,-2.189,-79.889,9,2720000,22.3,0.48,10.2,480,17.6,119.2,577.1
Guayas,Durán,235,-2.179,-79.831,8,235000,22.3,0.48,10.2,480,204.3,303.5,48.6
Guayas,Samborondón,105,-2.028,-79.724,3,105000,22.3,0.48,10.2,480,457.1,544.2,19.1
Guayas,Daule,180,-1.868,-79.977,5,180000,22.3,0.48,10.2,480,266.7,354.6,32.9
Guayas,Milagro,200,-2.129,-79.594,6,200000,22.3,0.48,10.2,480,240.0,334.3,39.3
Guayas,Balzar,53,-1.366,-79.905,5,53000,22.3,0.48,10.2,480,905.7,997.6,10.1
Pichincha,Quito,2010,-0.18,-78.467,6,2010000,10.8,0.42,11.8,203,10.1,108.9,978.4
Pichincha,Cayambe,85,0.041,-78.16,3,85000,10.8,0.42,11.8,203,238.8,358.7,50.2
Pichincha,Mejía,81,-0.502,-78.567,3,81000,10.8,0.42,11.8,203,250.6,346.5,38.3
Pichincha,Pedro Vicente Maldonado,13,0.083,-79.052,5,13000,10.8,0.42,11.8,203,1561.5,1690.4,8.3
Manabí,Portoviejo,320,-1.054,-80.454,5,320000,37.5,0.46,8.7,363,113.4,233.8,106.2
Manabí,Manta,270,-0.949,-80.746,7,270000,37.5,0.46,8.7,363,134.4,266.1,98.0
Manabí,Chone,128,-0.698,-80.094,4,128000,37.5,0.46,8.7,363,283.6,418.0,47.4
Manabí,Pedernales,55,0.076,-80.053,7,55000,37.5,0.46,8.7,363,660.0,815.6,23.6
Manabí,El Carmen,89,-0.28,-79.463,5,89000,37.5,0.46,8.7,363,407.9,528.8,29.6
Los Ríos,Babahoyo,162,-1.803,-79.534,6,162000,42.1,0.44,8.1,440,271.6,357.6,31.7
Los Ríos,Quevedo,185,-1.033,-79.449,8,185000,42.1,0.44,8.1,440,237.8,346.0,45.5
Los Ríos,Ventanas,72,-1.446,-79.471,6,72000,42.1,0.44,8.1,440,611.1,695.5,13.8
Los Ríos,Vinces,76,-1.556,-79.752,5,76000,42.1,0.44,8.1,440,578.9,663.4,14.6
Los Ríos,Buena Fe,72,-0.912,-79.484,5,72000,42.1,0.44,8.1,440,611.1,715.0,17.0
Esmeraldas,Esmeraldas,218,0.954,-79.656,9,218000,48.9,0.52,7.4,546,250.5,508.7,103.1
Esmeraldas,San Lorenzo,44,1.288,-78.838,8,44000,48.9,0.52,7.4,546,1240.9,1425.8,14.9
Esmeraldas,Eloy Alfaro,40,1.247,-78.979,7,40000,48.9,0.52,7.4,546,1365.0,1546.1,13.3
Esmeraldas,Atacames,42,0.868,-79.841,7,42000,48.9,0.52,7.4,546,1300.0,1523.2,17.2
Esmeraldas,Quinindé,135,0.332,-79.466,8,135000,48.9,0.52,7.4,546,404.4,565.4,39.8
El Oro,Machala,260,-3.259,-79.962,7,260000,25.3,0.43,9.8,305,117.3,206.6,76.1
El Oro,Pasaje,82,-3.329,-79.804,5,82000,25.3,0.43,9.8,305,372.0,448.8,20.7
El Oro,Santa Rosa,72,-3.449,-79.96,5,72000,25.3,0.43,9.8,305,423.6,498.9,17.8
El Oro,Huaquillas,52,-3.473,-80.229,7,52000,25.3,0.43,9.8,305,586.5,664.6,13.3
Azuay,Cuenca,600,-2.901,-79.006,3,600000,18.2,0.41,10.5,131,21.8,99.9,358.3
Azuay,Gualaceo,45,-2.889,-78.779,2,45000,18.2,0.41,10.5,131,291.1,357.2,22.7
Santa Elena,Santa Elena,150,-2.226,-80.859,8,150000,40.2,0.45,8.4,378,252.0,355.3,41.0
Santa Elena,La Libertad,98,-2.223,-80.905,7,98000,40.2,0.45,8.4,378,385.7,486.1,26.0
Santa Elena,Salinas,70,-2.216,-80.968,5,70000,40.2,0.45,8.4,378,540.0,637.1,18.0
Santo Domingo de los Tsáchilas,Santo Domingo,400,-0.253,-79.172,8,400000,36.8,0.44,8.6,365,91.2,224.0,145.6
Santo Domingo de los Tsáchilas,La Concordia,51,-0.005,-79.392,7,51000,36.8,0.44,8.6,365,715.7,860.1,20.2
Imbabura,Ibarra,200,0.346,-78.131,4,200000,24.6,0.42,9.2,130,65.0,197.9,204.5
Imbabura,Otavalo,105,0.232,-78.262,3,105000,24.6,0.42,9.2,130,123.8,255.6,106.5
